,Actual,Prediction,Error
2016-04-14,9.210000038146973,9.167799,0.04220104217529297
2016-04-15,9.282500267028809,9.233084,0.049416542053222656
2016-04-18,9.242500305175781,9.301337,0.058836936950683594
2016-04-19,9.077500343322754,9.333965,0.25646495819091797
2016-04-20,9.112500190734863,9.2998295,0.18732929229736328
2016-04-21,9.102499961853027,9.286082,0.18358230590820312
2016-04-22,9.067500114440918,9.273186,0.20568561553955078
2016-04-25,9.112500190734863,9.252698,0.14019775390625
2016-04-26,9.119999885559082,9.253573,0.1335735321044922
2016-04-27,9.327500343322754,9.257191,0.07030963897705078
2016-04-28,9.050000190734863,9.329036,0.2790355682373047
2016-04-29,8.882499694824219,9.286981,0.4044809341430664
2016-05-02,9.0,9.200243,0.2002429962158203
2016-05-03,8.892499923706055,9.178793,0.28629302978515625
2016-05-04,8.6899995803833,9.1297655,0.43976593017578125
2016-05-05,8.742500305175781,9.028937,0.2864370346069336
2016-05-06,8.832500457763672,8.976985,0.1444845199584961
2016-05-09,8.819999694824219,8.973058,0.15305805206298828
2016-05-10,8.989999771118164,8.968097,0.021903038024902344
2016-05-11,9.015000343322754,9.022132,0.0071315765380859375
2016-05-12,8.892499923706055,9.068876,0.1763763427734375
2016-05-13,10.244999885559082,9.060005,1.1849946975708008
2016-05-16,10.547499656677246,9.503359,1.0441408157348633
2016-05-17,10.569999694824219,9.915078,0.6549215316772461
2016-05-18,10.84000015258789,10.202785,0.6372156143188477
2016-05-19,10.887499809265137,10.483341,0.4041585922241211
2016-05-20,11.082500457763672,10.6861105,0.3963899612426758
2016-05-23,11.100000381469727,10.884079,0.21592140197753906
2016-05-24,11.34000015258789,11.021133,0.3188667297363281
2016-05-25,11.292499542236328,11.190229,0.10227012634277344
2016-05-26,11.412500381469727,11.287386,0.12511444091796875
2016-05-27,11.475000381469727,11.389848,0.08515262603759766
2016-05-31,11.680000305175781,11.478207,0.20179367065429688
2016-06-01,11.702500343322754,11.604661,0.09783935546875
2016-06-02,11.78499984741211,11.697499,0.08750057220458984
2016-06-03,11.619999885559082,11.786166,0.1661663055419922
2016-06-06,11.5600004196167,11.790068,0.23006725311279297
2016-06-07,11.582500457763672,11.769587,0.1870861053466797
2016-06-08,11.545000076293945,11.761255,0.21625518798828125
2016-06-09,11.845000267028809,11.74272,0.1022806167602539
2016-06-10,11.550000190734863,11.829591,0.2795906066894531
2016-06-13,11.697500228881836,11.792533,0.0950326919555664
2016-06-14,11.720000267028809,11.814016,0.09401607513427734
2016-06-15,11.84000015258789,11.836724,0.0032758712768554688
2016-06-16,11.887499809265137,11.892214,0.004714012145996094
2016-06-17,11.680000305175781,11.946322,0.26632213592529297
2016-06-20,11.890000343322754,11.913857,0.02385711669921875
2016-06-21,11.817500114440918,11.959494,0.14199352264404297
2016-06-22,11.807499885559082,11.967359,0.15985870361328125
2016-06-23,12.1225004196167,11.968699,0.15380096435546875
2016-06-24,11.432499885559082,12.073961,0.6414613723754883
2016-06-27,11.3100004196167,11.917706,0.6077051162719727
2016-06-28,11.475000381469727,11.76507,0.290069580078125
2016-06-29,11.662500381469727,11.715145,0.05264472961425781
2016-06-30,11.7524995803833,11.746365,0.006134986877441406
2016-07-01,11.664999961853027,11.800577,0.13557720184326172
2016-07-05,11.837499618530273,11.809808,0.02769184112548828
2016-07-06,11.912500381469727,11.872892,0.039608001708984375
2016-07-07,12.22249984741211,11.941674,0.2808256149291992
2016-07-08,12.712499618530273,12.091777,0.620722770690918
2016-07-11,13.005000114440918,12.358571,0.6464290618896484
2016-07-12,13.199999809265137,12.639641,0.560359001159668
2016-07-13,13.194999694824219,12.895166,0.2998332977294922
2016-07-14,13.329999923706055,13.064864,0.2651357650756836
2016-07-15,13.175000190734863,13.220814,0.045813560485839844
2016-07-18,13.242500305175781,13.272115,0.02961444854736328
2016-07-19,13.380000114440918,13.32488,0.05512046813964844
2016-07-20,13.555000305175781,13.404323,0.15067768096923828
2016-07-21,13.305000305175781,13.51586,0.2108592987060547
2016-07-22,13.667499542236328,13.508079,0.15942096710205078
2016-07-25,13.920000076293945,13.619992,0.30000782012939453
2016-07-26,14.157500267028809,13.781371,0.376129150390625
2016-07-27,14.015000343322754,13.970891,0.044109344482421875
2016-07-28,14.045000076293945,14.052115,0.007115364074707031
2016-07-29,14.274999618530273,14.113764,0.16123580932617188
2016-08-01,14.182499885559082,14.229866,0.04736614227294922
2016-08-02,14.010000228881836,14.277827,0.26782703399658203
2016-08-03,14.047499656677246,14.250596,0.2030963897705078
2016-08-04,14.307499885559082,14.241606,0.06589412689208984
2016-08-05,14.550000190734863,14.3214245,0.2285757064819336
2016-08-08,14.6850004196167,14.45807,0.2269306182861328
2016-08-09,14.72249984741211,14.597185,0.12531471252441406
2016-08-10,14.6274995803833,14.703935,0.07643508911132812
2016-08-11,14.925000190734863,14.74317,0.18183040618896484
2016-08-12,15.760000228881836,14.866163,0.8938369750976562
2016-08-15,15.744999885559082,15.228301,0.5166988372802734
2016-08-16,15.649999618530273,15.474005,0.175994873046875
2016-08-17,15.287500381469727,15.606386,0.31888580322265625
2016-08-18,15.524999618530273,15.570485,0.045485496520996094
2016-08-19,15.5649995803833,15.618629,0.05362987518310547
2016-08-22,15.630000114440918,15.664084,0.034084320068359375
2016-08-23,15.727499961853027,15.715794,0.011706352233886719
2016-08-24,15.484999656677246,15.782834,0.2978343963623047
2016-08-25,15.382499694824219,15.747295,0.3647956848144531
2016-08-26,15.507499694824219,15.686109,0.17860889434814453
2016-08-29,15.4975004196167,15.684613,0.18711280822753906
