,Actual,Prediction,Error
2011-09-26,14.39892864227295,14.733061,0.33413219451904297
2011-09-27,14.259285926818848,14.697806,0.4385204315185547
2011-09-28,14.178929328918457,14.620474,0.4415445327758789
2011-09-29,13.948928833007812,14.53933,0.5904006958007812
2011-09-30,13.618571281433105,14.398746,0.7801742553710938
2011-10-03,13.378570556640625,14.180837,0.8022661209106445
2011-10-04,13.303570747375488,13.948948,0.6453771591186523
2011-10-05,13.508929252624512,13.77445,0.2655210494995117
2011-10-06,13.477499961853027,13.748389,0.2708892822265625
2011-10-07,13.20714282989502,13.727125,0.5199823379516602
2011-10-10,13.88607120513916,13.612445,0.27362632751464844
2011-10-11,14.29607105255127,13.803658,0.4924135208129883
2011-10-12,14.36392879486084,14.092499,0.27143001556396484
2011-10-13,14.586786270141602,14.306135,0.2806510925292969
2011-10-14,15.071429252624512,14.525338,0.5460910797119141
2011-10-17,14.999643325805664,14.849212,0.15043163299560547
2011-10-18,15.079999923706055,15.025014,0.054986000061035156
2011-10-19,14.236429214477539,15.160058,0.9236288070678711
2011-10-20,14.118213653564453,14.91132,0.7931060791015625
2011-10-21,14.031070709228516,14.694282,0.6632108688354492
2011-10-24,14.491786003112793,14.519895,0.028108596801757812
2011-10-25,14.206070899963379,14.590466,0.38439464569091797
2011-10-26,14.307143211364746,14.532532,0.2253885269165039
2011-10-27,14.453213691711426,14.535462,0.08224868774414062
2011-10-28,14.462499618530273,14.596117,0.13361740112304688
2011-10-31,14.456428527832031,14.6405945,0.18416595458984375
2011-11-01,14.161070823669434,14.666423,0.5053520202636719
2011-11-02,14.193214416503906,14.567067,0.3738527297973633
2011-11-03,14.395357131958008,14.5130205,0.11766338348388672
2011-11-04,14.294285774230957,14.557758,0.2634725570678711
2011-11-07,14.276070594787598,14.549853,0.27378273010253906
2011-11-08,14.508213996887207,14.537558,0.029343605041503906
2011-11-09,14.117142677307129,14.619863,0.5027198791503906
2011-11-10,13.757857322692871,14.522269,0.7644119262695312
2011-11-11,13.736429214477539,14.316733,0.5803041458129883
2011-11-14,13.545000076293945,14.174768,0.6297683715820312
2011-11-15,13.886786460876465,14.012422,0.12563514709472656
2011-11-16,13.741786003112793,14.044423,0.30263710021972656
2011-11-17,13.478928565979004,14.015584,0.5366554260253906
2011-11-18,13.390713691711426,13.89675,0.5060367584228516
2011-11-21,13.178929328918457,13.78607,0.6071405410766602
2011-11-22,13.446785926818848,13.634595,0.18780899047851562
2011-11-23,13.106785774230957,13.643324,0.5365381240844727
2011-11-25,12.98464298248291,13.522397,0.5377540588378906
2011-11-28,13.432856559753418,13.3978405,0.03501605987548828
2011-11-29,13.328571319580078,13.494121,0.16554927825927734
