,Actual,Prediction,Error
2020-05-05,9003.0703125,8957.087,45.9833984375
2020-05-06,9268.76171875,9015.559,253.203125
2020-05-07,9951.5185546875,9202.173,749.345703125
2020-05-08,9842.666015625,9695.49,147.17578125
2020-05-09,9593.896484375,9821.237,227.3408203125
2020-05-10,8756.4306640625,9714.55,958.119140625
2020-05-11,8601.7958984375,9155.122,553.326171875
2020-05-12,8804.4775390625,8840.432,35.9541015625
2020-05-13,9269.9873046875,8844.537,425.4501953125
2020-05-14,9733.7216796875,9135.873,597.8486328125
2020-05-15,9328.197265625,9536.856,208.6591796875
2020-05-16,9377.013671875,9443.617,66.603515625
2020-05-17,9670.7392578125,9434.24,236.4990234375
2020-05-18,9726.5751953125,9610.864,115.7109375
2020-05-19,9729.0380859375,9714.385,14.6533203125
2020-05-20,9522.9814453125,9755.566,232.5849609375
2020-05-21,9081.76171875,9644.078,562.31640625
2020-05-22,9182.5771484375,9327.943,145.3662109375
2020-05-23,9209.287109375,9266.351,57.0634765625
2020-05-24,8790.3681640625,9260.303,469.9345703125
2020-05-25,8906.9345703125,9001.171,94.236328125
2020-05-26,8835.052734375,8971.737,136.6845703125
2020-05-27,9181.017578125,8917.355,263.662109375
2020-05-28,9525.7509765625,9109.78,415.970703125
2020-05-29,9439.1240234375,9398.189,40.9345703125
2020-05-30,9700.4140625,9457.053,243.361328125
2020-05-31,9461.05859375,9639.175,178.1162109375
2020-06-01,10167.2685546875,9562.241,605.02734375
2020-06-02,9529.8037109375,9965.552,435.748046875
2020-06-03,9656.7177734375,9730.957,74.2392578125
2020-06-04,9800.63671875,9714.801,85.8359375
2020-06-05,9665.533203125,9797.546,132.0126953125
2020-06-06,9653.6796875,9747.204,93.5244140625
2020-06-07,9758.8525390625,9719.949,38.9033203125
2020-06-08,9771.4892578125,9772.906,1.4169921875
2020-06-09,9795.7001953125,9802.605,6.9052734375
2020-06-10,9870.0947265625,9828.742,41.3525390625
2020-06-11,9321.78125,9884.723,562.94140625
2020-06-12,9480.84375,9568.687,87.8427734375
2020-06-13,9475.27734375,9542.459,67.181640625
2020-06-14,9386.7880859375,9530.147,143.359375
2020-06-15,9450.7021484375,9472.013,21.310546875
2020-06-16,9538.0244140625,9488.729,49.2958984375
2020-06-17,9480.2548828125,9549.444,69.189453125
2020-06-18,9411.8408203125,9537.589,125.748046875
2020-06-19,9288.0185546875,9490.829,202.810546875
2020-06-20,9332.3408203125,9396.144,63.802734375
2020-06-21,9303.6298828125,9386.371,82.7412109375
2020-06-22,9648.7177734375,9365.436,283.2822265625
2020-06-23,9629.658203125,9569.871,59.787109375
2020-06-24,9313.6103515625,9638.47,324.859375
2020-06-25,9264.8134765625,9469.739,204.92578125
2020-06-26,9162.91796875,9373.008,210.08984375
2020-06-27,9045.390625,9272.739,227.3486328125
2020-06-28,9143.58203125,9161.851,18.2685546875
2020-06-29,9190.8544921875,9179.683,11.171875
2020-06-30,9137.9931640625,9216.612,78.619140625
2020-07-01,9228.3251953125,9198.878,29.447265625
2020-07-02,9123.41015625,9247.349,123.9384765625
2020-07-03,9087.3037109375,9201.973,114.6689453125
2020-07-04,9132.48828125,9161.529,29.041015625
2020-07-05,9073.9423828125,9173.658,99.7158203125
2020-07-06,9375.474609375,9142.5625,232.912109375
2020-07-07,9252.27734375,9315.888,63.6103515625
2020-07-08,9428.3330078125,9308.267,120.06640625
2020-07-09,9277.9677734375,9412.92,134.9521484375
2020-07-10,9278.8076171875,9360.991,82.18359375
2020-07-11,9240.3466796875,9340.516,100.1689453125
2020-07-12,9276.5,9308.723,32.22265625
2020-07-13,9243.6142578125,9318.893,75.2783203125
2020-07-14,9243.2138671875,9302.77,59.5556640625
2020-07-15,9192.8369140625,9296.333,103.49609375
2020-07-16,9132.2275390625,9262.842,130.6142578125
2020-07-17,9151.392578125,9212.345,60.9521484375
2020-07-18,9159.0400390625,9204.604,45.5634765625
2020-07-19,9185.8173828125,9206.702,20.884765625
2020-07-20,9164.2314453125,9224.266,60.0341796875
2020-07-21,9374.8876953125,9217.894,156.994140625
2020-07-22,9525.36328125,9345.013,180.3505859375
2020-07-23,9581.072265625,9487.56,93.5126953125
2020-07-24,9536.892578125,9577.161,40.2685546875
2020-07-25,9677.11328125,9584.086,93.02734375
2020-07-26,9905.1669921875,9672.716,232.451171875
2020-07-27,10990.873046875,9847.285,1143.587890625
2020-07-28,10912.8232421875,10583.881,328.9423828125
2020-07-29,11100.4677734375,10823.679,276.7890625
2020-07-30,11111.2138671875,11029.105,82.1083984375
2020-07-31,11323.466796875,11113.407,210.0595703125
2020-08-01,11759.5927734375,11275.108,484.484375
2020-08-02,11053.6142578125,11606.058,552.443359375
2020-08-03,11246.3486328125,11300.342,53.9931640625
2020-08-04,11205.892578125,11296.974,91.0810546875
2020-08-05,11747.0224609375,11271.479,475.5439453125
2020-08-06,11779.7734375,11594.87,184.9033203125
2020-08-07,11601.47265625,11742.426,140.953125
2020-08-08,11754.0458984375,11689.291,64.7548828125
2020-08-09,11675.7392578125,11761.278,85.5390625
2020-08-10,11878.111328125,11741.168,136.943359375
2020-08-11,11410.525390625,11857.176,446.650390625
2020-08-12,11584.9345703125,11614.89,29.955078125
2020-08-13,11784.1376953125,11626.908,157.2294921875
2020-08-14,11768.87109375,11755.248,13.623046875
2020-08-15,11865.6982421875,11796.578,69.1201171875
2020-08-16,11892.8037109375,11871.839,20.96484375
2020-08-17,12254.40234375,11917.434,336.96875
2020-08-18,11991.2333984375,12157.5625,166.3291015625
2020-08-19,11758.283203125,12089.235,330.9521484375
2020-08-20,11878.3720703125,11917.398,39.0263671875
2020-08-21,11592.4892578125,11923.932,331.4423828125
2020-08-22,11681.8251953125,11751.234,69.4091796875
2020-08-23,11664.84765625,11739.103,74.2548828125
2020-08-24,11774.595703125,11725.027,49.568359375
2020-08-25,11366.134765625,11787.448,421.3134765625
2020-08-26,11488.36328125,11560.839,72.4755859375
2020-08-27,11323.3974609375,11546.813,223.416015625
2020-08-28,11542.5,11441.156,101.34375
2020-08-29,11506.865234375,11534.616,27.7509765625
2020-08-30,11711.505859375,11550.237,161.2685546875
2020-08-31,11680.8203125,11682.207,1.38671875
2020-09-01,11970.478515625,11714.721,255.7578125
2020-09-02,11414.0341796875,11905.068,491.0341796875
2020-09-03,10245.296875,11636.621,1391.32421875
2020-09-04,10511.8134765625,10810.535,298.7216796875
2020-09-05,10169.5673828125,10651.567,482.0
2020-09-06,10280.3515625,10383.062,102.7099609375
2020-09-07,10369.5634765625,10348.484,21.0791015625
2020-09-08,10131.5166015625,10392.457,260.9404296875
2020-09-09,10242.34765625,10264.107,21.759765625
2020-09-10,10363.138671875,10281.992,81.146484375
2020-09-11,10400.9150390625,10363.925,36.990234375
2020-09-12,10442.1708984375,10419.353,22.818359375
2020-09-13,10323.755859375,10465.942,142.1865234375
